artists,track_name,track_genre,Lyrics
Nirvana,Come As You Are,rock,"Come as you are, as you were
As I want you to be
As a friend, as a friend
As an old enemy
Take your time, hurry up
Choice is yours, don't be late
Take a rest as a friend
As an old memoria


Memoria
Memoria
Memoria

Come doused in mud, soaked in bleach
As I want you to be
As a trend, as a friend
As an old memoria


Memoria
Memoria
Memoria
You might also like
And I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun




'Ria
Memoria
Memoria
Memoria (No, I don't have a gun)


Well, I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun


(Memoria)
(Memoria)"
Plain White T's,Hey There Delilah,rock,"Hey there, Delilah, what's it like in New York City?
I'm a thousand miles away, but girl, tonight, you look so pretty, yes you do
Times Square can't shine as bright as you
I swear it's true
Hey there, Delilah, don't you worry about the distance
I'm right there if you get lonely, give this song another listen, close your eyes
Listen to my voice, it's my disguise
I'm by your side


Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
What you do to me


Hey there, Delilah, I know times are gettin' hard
But just believe me, girl, someday I'll pay the bills with this guitar, we'll have it good
We'll have the life we knew we would
My word is good
Hey there, Delilah, I've got so much left to say
If every simple song I wrote to you would take your breath away, I'd write it all
Even more in love with me, you'd fall
We'd have it all
You might also like
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me


A thousand miles seems pretty far
But they've got planes, and trains, and cars
I'd walk to you if I had no other way
Our friends would all make fun of us
And we'll just laugh along because
We know that none of them have felt this way
Delilah, I can promise you
That by the time we get through
The world will never, ever be the same
And you're to blame


Hey there, Delilah, you be good and don't you miss me
Two more years and you'll be done with school, and I'll be making history like I do
You'll know it's all because of you
We can do whatever we want to
Hey there, Delilah, here's to you
This one's for you

Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
What you do to me


Ho-oh, woah-oh, woah oh-oh oh-oh
Oh-oh, woah oh-oh oh woah
Oh oh-woah oh-oh, ooh-ooh, ooh-ooh"
Bastille,Pompeii,rock,"Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu


I was left to my own devices
Many days fell away with nothing to show


And the walls kept tumbling down in the city that we love
Grey clouds roll over the hills, bringing darkness from above


But if you close your eyes, does it almost feel like nothing changed at all?
And if you close your eyes, does it almost feel like you've been here before?
How am I gonna be an optimist about this?
How am I gonna be an optimist about this?
You might also like
We were caught up and lost in all of our vices
In your pose as the dust settled around us


And the walls kept tumbling down in the city that we love
Grey clouds roll over the hills, bringing darkness from above


But if you close your eyes, does it almost feel like nothing changed at all?
And if you close your eyes, does it almost feel like you've been here before?
How am I gonna be an optimist about this?
How am I gonna be an optimist about this?

Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu


Oh, where do we begin, the rubble or our sins?
Oh-oh, where do we begin, the rubble or our sins?
And the walls kept tumbling down in the city that we love (Oh, where do we begin, the rubble or our sins?)
Grey clouds roll over the hills bringing darkness from above (Oh, where do we begin, the rubble or our sins?)

But if you close your eyes, does it almost feel like nothing changed at all?
And if you close your eyes, does it almost feel like you've been here before?
Oh, how am I going to be an optimist about this?
How am I going to be an optimist about this?
If you close your eyes, does it almost feel like nothing changed at all?

Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu
Eh, eheu, eheu"
OneRepublic,Rescue Me,rock,"Would you rescue me? Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Ah, would you rescue me?
Would you rescue me when I'm by myself?
When I need your love? If I need your help?
Would you rescue me? Ah, would you rescue me?


We don't talk much, not anymore
Broken bottles and slammin' doors
But we still care about each other
Say we care about each other
I know life took us far away
But I still dream 'bout the good old days
When we took care of each other
We were livin' for each other


But I start to wonder, wonder
If I'm slipping under, under (Oh, oh)


Would you rescue me? Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Ah, would you rescue me?
Would you rescue me when I'm by myself?
When I need your love, if I need your help
Would you rescue me? Ah, would you rescue me?
Would you rescue me? Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Ah
Would you rescue me? (Would you rescue me?)
Would you rescue me when I'm by myself?
When I need your love, if I need your help
Would you rescue me? Ah, would you rescue me?
See OneRepublic LiveGet tickets as low as $124You might also like
Yeah, I miss all the times we had
Can't forget what you can't get back
And you can't find it in another
Man, time, it ain't your lover
I don't care what you thought before
I'll be there anytime you call
Don't you ever call another
No need to call another


And I start to wonder, wonder
If I'm slipping under, under (Oh, oh)


Would you rescue me? Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Ah
Would you rescue me? (Would you rescue me?)
Would you rescue me when I'm by myself?
When I need your love, if I need your help
Would you rescue me? Ah, would you rescue me? (Yeah)


Would you rescue me?
Oh, rescue me (Would you rescue me?)
Would you rescue me? (When I'm by myself?)
(When I need your love, if I need your help)
Oh, rescue me
(Would you rescue me? Ah, would you rescue me?)

Would you rescue me? Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Ah, would you rescue me?
Would you rescue me when I'm by myself?
When I need your love, if I need your help
Would you rescue me? Ah, would you rescue me?"
Supertramp,Give A Little Bit,rock,"Ooh, yeah
Alright
Here we go again
Neah neah, whoa no, da na, hey hey
Yeah


Give a little bit
Give a little bit of your love to me
I'll give a little bit
I'll give a little bit of my love to you
There's so much that we need to share
So send a smile, and show you care

(Alright, alright)
I'll give a little bit
I'll give a little bit of my life for you
So give a little bit
Oh give a little bit of your time to me
See the man with the lonely eyes
Oh take his hand, you'll be surprised


Oh, take it
Ah, yeah
Come along
Yeah, yeah yeah, yeah
Yeah, yeah yeah, yeah yeah yeah yeah
Aaaah aaaah aaaah aaaah
Aaaah aaaah aaaah aaaah
Aaaah aaaah aaaah aaaah
You might also like
Give a little bit
Oh give a little bit of your love to me
I'll give a little bit
I'll give a little bit of my life for you
Now's the time that we need to share
So find yourself, we're on our way back home


Ooh, going home
Don't you need, don't you need to feel at home?
Oh yeah, we gotta see
Ooh yeah, gotta get a feeling
Ooh yeah, come along too
Whoo!
You come along too, neah
Come a... come a... come a... come along

Check t... check t... check to yeah
Ooh yeah, come along too
Yeah, come along too, yeah
Sing Betty Lou
Come along too
What a long ride
Come a long way
Ooh sing it tonight
Ooh yeah"
Guns N' Roses,Sweet Child O' Mine,rock,"She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky
Now and then when I see her face
She takes me away to that special place
And if I stared too long, I'd probably break down and cry


Woah, oh, oh
Sweet child o' mine
Woah, oh, oh, oh
Sweet love of mine



She's got eyes of the bluest skies
As if they thought of rain
I'd hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where, as a child, I'd hide
And pray for the thunder and the rain to quietly pass me by
You might also like
Woah, oh, oh
Sweet child o' mine
Woah woah, oh, oh, oh
Sweet love of mine

Ooh!


Oh, oh-oh-yeah
Woah, yeah
Woah, oh, h-o
Sweet child of mine
Woah-oh, woah-oh
Sweet love of mine
Woah, oh-oh-oh
Sweet child of mine, ooh, yeah
Ooh-ooh-ooh-ooh
Sweet love of mine



Where do we go?
Where do we go now?
Where do we go?
Mm-mm, oh, where do we go?
Where do we go now?
Oh, where do we go now? (Where do we go?)
Where do we go? (Sweet child)
Mm-huh, where do we go now?
Ah-yah-yah-yah-yah-yah-yah-yah-oh (Where do we go? Where do we go?)
Ooh, where do we go now? (Where do we go?)
Uh-uh-uh, uh-uh-uh-oh, wow
Where do we go?
Oh-oh, where do we go now?
(Oh) Where do we go, oh-oh-oh-oh? (Oh, wow)
Where do we go now?
Where do we go?
Woah-oh, where do we go now?
No, no, no, no, no, no, no
Sweet child
Sweet child of mine"
Radiohead,Creep,rock,"When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special


But I'm a creep, I'm a weirdo
What the hell am I doing here?
I don't belong here


I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fuckin' special
I wish I was special


But I'm a creep, I'm a weirdo
What the hell am I doing here?
I don't belong here
Oh-oh, oh-oh
You might also like
She's running out the door
She's running
She run, run, run, run
Run


Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special
But I'm a creep, I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't belong here"
James Blunt,Postcards,rock,"Sundays sitting on your back porch
And I came on with a couple of chords
And I played for you
You let me keep you entertained
With stories I exaggerate
That you know aren't true
And as you sit there making daisy chains
And I throw in a hand grenade
And tell you how it is I really feel for you


I'm sending postcards from my heart
Your love for a postmark and then
You know that you make me feel like
We've been caught like kids in the schoolyard again
And I can't keep it to myself
Can't spell it any better
L.O.V.E forever
I hope you know that
I'm sending a postcard
I don't care who sees what I've said
Or if the whole world knows what's in my head


We chased the sun til it got away
On a bicycle that your daddy made
But not made for two
Then we sat out on your rocking chair
You with a flower in your hair
That I found for you
But then Monday always comes around
And it's sad cause I can't see you now
Want you to know you're always in my head
See James Blunt LiveGet tickets as low as $55You might also like
I'm sending postcards from my heart
Your love for a postmark and then
You know that you make me feel like
We've been caught like kids in the schoolyard again
And I can't keep it to myself
Can't spell it any better
L.O.V.E forever
I hope you know that
I'm sending a postcard
I don't care who sees what I've said
Or if the whole world knows what's in my head


You know sometimes it's hard to see
You say the words that torture me
But inside I know exactly how I feel
The things that I can't say out loud
I'll find a place to write it down
I hope that they will find you in the end


I'm sending postcards from my heart
Your love for a postmark and then
You know that you make me feel like
We've been caught like kids in the schoolyard again
And I can't keep it to myself
Can't spell it any better
L.O.V.E forever
I hope you know that
I'm sending a postcard
I don't care who sees what I've said
Or if the whole world knows what's in my head

Know oh oh know oh oh know oh oh
All the things I want you to know oh oh know oh oh know oh oh (5x)
All the things I want you to know"
Everybody Loves an Outlaw,I See Red,rock,"Did you really think
I'd just forgive and forget, no
After catching you with her
Your blood should run cold, so cold


You, you two-timing, cheap lying, wannabe
You're a fool if you thought that I'd just let this go


I see red, red, oh red
A gun to your head, head, to your head
Now all I see is red, red, red


Did you really just say
She didn't mean anything, oh
I'll remember those words
When I come for your soul, your soul


Know that you, you dug your own grave, now lie in it
You're so cruel, but revenge is a dish best served cold


I see red, red, oh red
A gun to your head, head, to your head, oh
Executioner style, and there won't be no trial
Don't you know that you're better off dead
All I see is red, red, oh red
Now all I see is
You might also like
Run, hide
Oh, you're so done
Better sleep with one eye open tonight


I see red, red, oh red, oh
A gun to your head, head, to your head, oh
Executioner style, and there won't be no trial
Don't you know that you're better off dead
All I see is red, red, oh red
Now all I see is red, red"
Arctic Monkeys,Body Paint,rock,"For a master of deception and subterfuge
You've made yourself quite the bed to lie in
Do your time travelling through the tanning booth
So you don’t let the sun catch you crying


So predictable, I know what you're thinking


My teeth are beating and my knees are weak
It's as if there’s something up with the wiring
You can poke your head behind the mountain peak
Don't have to mean that you've gone into hiding


So predictable, I know what you're thinking


I'm watching your every move
I feel the tears are coming on
It won't be long
It won't be long
Straight from the cover shoot
Still a trace of body paint
On your legs and on your arms and on your face
And I'm keeping on my costume
And calling it a writing tool
And if you’re thinking of me
I’m probably thinking of you
You might also like


There's still a trace of body paint
On your legs and on your arms and on your face
There’s still a trace of body paint
On your legs and on your arms and on your face
There's still a trace of body paint
On your legs and on your arms and on your face
There's still a trace of body paint
On your legs and on your arms and on your face


So predictable, I know what you're thinking


Ooh, ha
Yeah
Yeah"
Pink Floyd,Comfortably Numb,rock,"Hello? (Hello, hello, hello)
Is there anybody in there?
Just nod if you can hear me
Is there anyone home?
Come on (Come on, come on), now
I hear you're feeling down
Well, I can ease your pain
And get you on your feet again
Relax (Relax, relax, relax)
I'll need some information first
Just the basic facts
Can you show me where it hurts?

There is no pain, you are receding
A distant ship, smoke on the horizon
You are only coming through in waves
Your lips move, but I can't hear what you're saying
When I was a child, I had a fever
My hands felt just like two balloons
Now I've got that feeling once again
I can't explain, you would not understand
This is not how I am
You might also like
I have become comfortably numb



I have become comfortably numb

Okay (Okay, okay, okay)
Just a little pinprick
There'll be no more
But you may feel a little sick
Can you stand up? (Stand up, stand up)
I do believe it's working, good
That'll keep you going through the show
Come on, it's time to go

There is no pain, you are receding
A distant ship, smoke on the horizon
You are only coming through in waves
Your lips move, but I can't hear what you're saying
When I was a child, I caught a fleeting glimpse
Out of the corner of my eye
I turned to look, but it was gone
I cannot put my finger on it now
The child is grown, the dream is gone

I have become comfortably numb"
AJR,The Good Part,rock,"Ah, ah-ah-ah
Ah, ah-ah-ah
One, two, three, four
Ah, ah-ah-ah
One, two, three, four
Ah, ah-ah-ah
One, two, three, four


Have I done my best here, or
Will I be here next year, or
Are these my best years yet?
Was looking forward to
Being important, but
I'm not important yet


If you put this scene on a movie screen
Is it called a happy end?
If the work gets me where I'm supposed to be
Will I know I've made it then?
It's so hard
Can we skip to the good part?


Ah, ah-ah-ah
One, two, three, four
Ah, ah-ah-ah
One, two, three, four
See AJR LiveGet tickets as low as $28You might also like
If there's a good part, then
I hope it's not far 'cause
I thought it'd be today
I napped on campus and
I smoked at dances, but
It didn't feel so great


If you put this scene on a movie screen
Is it called a happy end?
If the work gets me where I'm supposed to be
Will I know I've made it then?
It's so hard
So can we skip to the good part?


Ah, ah-ah-ah
One, two, three, four
Ah, ah-ah-ah
One, two, three, four (So can we skip to the good part?)
Ah, ah-ah-ah (To the good part, to the good part)
One, two, three, four
Ah, ah-ah-ah (Woo, woo)
One, two, three, four

(Ah, ah-ah-ah)
(Ah, ah-ah-ah)
These things take time
Mom and Dad, they have a good life
But what am I gonna do with mine?
(Ah, ah-ah-ah)
These things take time
Mom and Dad, they have a good life
But what the hell am I gonna do with mine?"
Jason Mraz,Unlonely,rock,"It could be love
And we could be homies
Once you get to know me
I could be your one and only
I could make you Unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you Unlonely


I've been chasing summer around
Searching for the sunshine
Looking for a good time
Following the good vibes
Listening to intuition as it's happening
Diggin' into life cuz at times it can be saddening
Yea it can be a grey day, if you're lonely
A little rain suddenly turns heavy
But a whole lotta love can make the clouds go away
Maybe the time for us is now


When the table's set for two
And there's nobody with you
Seeing movies by yourself
Let me be your someone else
See Jason Mraz LiveGet tickets as low as $37You might also like
It could be love
And we could be homies
Once you get to know me
I could be your one and only
I could make you Unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you Unlonely


Love, la-la-la, love
Love, la-la, love
One and only, I could make you Unlonely


I give you my word although I'm making words up
Unlonely ain't a word but I don't give a FRUCK
Cause I'm fresh from the farm where critics can't bother me
Living is tricky as it is so that ain't stopping me
You and me we both agree that no one needs the scrutiny
All we want is peace and love and honestly you ruined me
With your beautiful smile and your style continuity
I'd be a fool not to take the opportunity to say
Hey, we should be homies
I think we could be bigger than cheese and macaroni
We could keep it sweet like Chachi and Joanie
Or maybe just be ourselves: Never Phony
Never second guessing the freindship connection
Parallel living, never in possession
Of your individual personal expression
Together we're just a much better reflection of Love

And we could be homies
Once you get to know me
I could be your one and only
I could make you Unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you Unlonely


Love, la-la-la, love
Love, la-la, love
One and only, I could make you Unlonely
Love, la-la-la, love
Love, la-la, love
One and only, I could make you Unlonely


When the table's set for two
And there's nobody with you
Seeing movies by yourself
Let me be your someone else
If you're spending time alone
If it's just you and your phone
Taking pictures of yourself
Baby, maybe I can help

It could be love
And we could be homies
Once you get to know me
I could be your one and only
I could make you Unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you Unlonely


Love, la-la-la, love
Love, la-la, love
One and only, I could make you unlonely

It could be love
And we could be homies (Love, la-la-la, love)
And once you get to know me (Love, la-la, love)
I could be your one and only
I could make you Unlonely"
